100   -3.3
102   -4.6
104   -8.6
106  -11.2
108  -10.7
110   -5.7
112   -3.3
114   -1.0
116    1.7
118    5.8
120    6.0
122    4.0
124    3.3
126     .7
128    4.1
130    9.2
132   16.3
134   17.7
136   20.3
138   16.7
140   15.2
142   15.3
144   15.4
146   16.0
148   13.7
150   14.5
152   16.2
154   15.9
156   12.7
158    9.3
160    5.2
162     .8
164   -1.4
166   -4.0
168   -6.7
170  -10.8
172  -14.8
174  -17.7
176  -17.5
178  -14.2
180  -11.7
182  -10.8
184  -16.3
186  -20.9
188  -24.4
190  -25.7
192  -23.8
194  -22.6
196  -18.8
198  -16.5
200  -15.2
202  -14.7
204  -11.8
206   -9.7
208  -11.8
210  -11.8
212  -16.0
214  -22.7
216  -28.2
218  -34.6
220  -42.4
222  -48.1
224  -51.6
226  -48.7
228  -50.4
230  -55.2
232  -61.1
234  -61.8
236  -59.2
238  -54.6
240  -54.0
242  -56.5
244  -69.6
246  -77.0
248  -83.4
250  -88.0
252  -89.6
254  -88.4
256  -92.3
258  -92.5
260  -94.2
262  -99.0
264 -103.9
266 -107.2
268 -109.2
270 -113.3
272 -114.4
274 -118.4
276 -121.3
278 -120.4
280 -121.4
282 -121.4
284 -128.8
286 -138.5
288 -138.6
290 -138.3
292 -135.4
294 -131.5
296 -128.8
298 -127.2
300 -124.0
302 -120.0
304 -119.5
306 -115.6
308 -117.7
310 -117.1
312 -118.7
314 -122.9
316 -123.2
318 -128.5
320 -129.5
322 -132.2
324 -136.2
326 -134.2
328 -134.3
330 -135.1
332 -136.9
334 -137.9
336 -142.4
338 -146.3
340 -143.5
342 -143.9
344 -148.0
346 -150.9
348 -153.6
350 -156.7
352 -154.3
354 -153.6
356 -160.1
358 -162.5
360 -162.9
362 -165.1
