313166  4947499    1.09
313256  4947539    1.86
313346  4947579   -2.77
313436  4947619   -7.51
313526  4947659   -5.54
313616  4947699   -2.37
313706  4947739    5.99
313796  4947779    4.16
313886  4947819    1.53
313976  4947859   -0.81
314066  4947899   -2.24
314156  4947939   -0.98
314246  4947979    1.19
314336  4948019    4.06
314426  4948059    7.22
314516  4948099    5.29
314606  4948139    2.46
314696  4948179   -1.88
314786  4948219   -0.11
314876  4948259   -2.64
314966  4948299   -3.58
315056  4948339   -1.61
315146  4948379   -1.55
315236  4948419   -0.08
315326  4948459   -0.01
315416  4948499    1.35
315506  4948539   -0.18
315596  4948579   -0.01
315686  4948619   -0.95
315779  4948663   -1.38
312908  4948037   -1.17
312998  4948077   -2.44
313088  4948117    2.39
313178  4948157    5.52
313268  4948197    3.45
313358  4948237    4.38
313448  4948277    3.60
313538  4948317    3.73
313628  4948357    3.66
313718  4948397   -1.21
313808  4948437   -3.98
313898  4948477   -6.25
313988  4948517   -7.32
314078  4948557   -4.49
314168  4948597   -2.86
314258  4948637   -2.04
314348  4948677   -2.51
314438  4948717   -0.88
314528  4948757   -1.65
314618  4948797   -2.32
314708  4948837   -1.59
314798  4948877    0.64
314888  4948917    1.67
314978  4948957    2.20
315068  4948997    0.82
315158  4949037    0.15
315248  4949077   -0.02
315338  4949117    0.71
315428  4949157    4.14
315529  4949197    3.67
312658  4948593    7.16
312749  4948632    7.73
312840  4948671    4.31
312931  4948710    0.69
313022  4948749   -0.33
313113  4948788   -1.26
313204  4948827   -2.78
313295  4948866   -3.30
313386  4948905   -1.03
313477  4948944   -0.35
313568  4948983   -0.87
313659  4949022    0.31
313750  4949061   -2.32
313841  4949100   -5.04
313932  4949139   -7.86
314023  4949178   -7.48
314114  4949217   -4.91
314205  4949256   -3.33
314296  4949295   -1.25
314387  4949334    1.02
314478  4949373    1.90
314569  4949412    2.68
314660  4949451    4.46
314751  4949490    3.73
314842  4949529    1.71
314933  4949568    0.69
315024  4949607    0.17
315115  4949646    0.14
315206  4949685    2.12
315293  4949735    3.30
312418  4949131   -4.47
312509  4949170   -4.14
312600  4949209   -1.70
312691  4949248    0.53
312782  4949287    3.76
312873  4949326    3.80
312964  4949365    1.63
313055  4949404   -0.14
313146  4949443    1.50
313237  4949482   -0.87
313328  4949521   -2.44
313419  4949560    0.80
313510  4949599    0.43
313601  4949638    0.16
313692  4949677   -1.00
313783  4949716   -0.87
313874  4949755   -1.64
313965  4949794    0.40
314056  4949833    2.53
314147  4949872    2.46
314238  4949911    2.00
314329  4949950    1.83
314420  4949989    3.46
314511  4950028    2.40
314602  4950067    0.23
314693  4950106   -0.24
314784  4950145   -2.60
314875  4950184   -1.57
314966  4950223   -3.44
315048  4950274   -2.80
312172  4949674    3.84
312262  4949713    2.12
312352  4949752   -1.60
312442  4949791   -5.22
312532  4949830   -5.64
312622  4949869   -1.36
312712  4949908   -0.87
312802  4949947    0.11
312892  4949986   -3.31
312982  4950025   -2.13
313072  4950064   -0.25
313162  4950103    4.23
313252  4950142    4.51
313342  4950181    3.39
313432  4950220    0.87
313522  4950259   -0.75
313612  4950298   -2.67
313702  4950337   -0.59
313792  4950376    3.29
313882  4950415    5.07
313972  4950454    0.95
314062  4950493    2.53
314152  4950532    3.31
314242  4950571    2.39
314332  4950610    2.27
314422  4950649   -0.05
314512  4950688   -1.77
314602  4950727   -2.49
314692  4950766   -5.31
314790  4950816   -4.83
314628  4947718    0.17
314586  4947809   -0.70
314544  4947900    1.53
314502  4947991    2.06
314460  4948082    3.90
314418  4948173    5.13
314376  4948264    4.56
314334  4948355    2.99
314292  4948446   -0.18
314250  4948537   -1.54
314208  4948628   -4.51
314166  4948719   -2.78
314124  4948810   -3.75
314082  4948901   -2.32
314040  4948992   -2.38
313998  4949083   -4.15
313956  4949174   -5.12
313914  4949265   -2.59
313872  4949356   -0.56
313830  4949447    2.98
313788  4949538    2.51
313746  4949629   -0.16
313704  4949720   -2.53
313662  4949811   -2.40
313620  4949902   -2.26
313578  4949993   -1.43
313536  4950084   -0.40
313494  4950175   -0.07
313452  4950266    2.96
313410  4950357    4.50
313368  4950448    6.53
