313166	4947499	5.4
313256	4947539	6.9
313346	4947579	3.0
313436	4947619	-1.0
313526	4947659	1.7
313616	4947699	5.6
313706	4947739	14.7
313796	4947779	13.6
313886	4947819	11.7
313976	4947859	10.1
314066	4947899	9.4
314156	4947939	11.4
314246	4947979	14.3
314336	4948019	17.9
314426	4948059	21.8
314516	4948099	20.6
314606	4948139	18.5
314696	4948179	14.9
314786	4948219	17.4
314876	4948259	15.6
314966	4948299	15.4
315056	4948339	18.1
315146	4948379	18.9
315236	4948419	21.1
315326	4948459	21.9
315416	4948499	24.0
315506	4948539	23.2
315596	4948579	24.1
315686	4948619	23.9
315779	4948663	24.2
312908	4948037	-2.5
312998	4948077	-3.0
313088	4948117	2.6
313178	4948157	6.5
313268	4948197	5.2
313358	4948237	6.9
313448	4948277	6.9
313538	4948317	7.8
313628	4948357	8.5
313718	4948397	4.4
313808	4948437	2.4
313898	4948477	0.9
313988	4948517	0.6
314078	4948557	4.2
314168	4948597	6.6
314258	4948637	8.2
314348	4948677	8.5
314438	4948717	10.9
314528	4948757	10.9
314618	4948797	11.0
314708	4948837	12.5
314798	4948877	15.5
314888	4948917	17.3
314978	4948957	18.6
315068	4948997	18.0
315158	4949037	18.1
315248	4949077	18.7
315338	4949117	20.2
315428	4949157	24.4
315529	4949197	24.7
312658	4948593	2.7
312749	4948632	3.0
312840	4948671	-0.7
312931	4948710	-4.6
313022	4948749	-5.9
313113	4948788	-7.1
313204	4948827	-8.9
313295	4948866	-9.7
313386	4948905	-7.7
313477	4948944	-7.3
313568	4948983	-8.1
313659	4949022	-7.2
313750	4949061	-10.1
313841	4949100	-13.1
313932	4949139	-16.2
314023	4949178	-16.1
314114	4949217	-13.8
314205	4949256	-12.5
314296	4949295	-10.7
314387	4949334	-8.7
314478	4949373	-8.1
314569	4949412	-7.6
314660	4949451	-6.1
314751	4949490	-7.1
314842	4949529	-9.4
314933	4949568	-10.7
315024	4949607	-11.5
315115	4949646	-11.8
315206	4949685	-10.1
315293	4949735	-9.2
312418	4949131	0.1
312509	4949170	0.3
312600	4949209	2.6
312691	4949248	4.7
312782	4949287	7.8
312873	4949326	7.7
312964	4949365	5.4
313055	4949404	3.5
313146	4949443	5.0
313237	4949482	2.5
313328	4949521	0.8
313419	4949560	3.9
313510	4949599	3.4
313601	4949638	3.0
313692	4949677	1.7
313783	4949716	1.7
313874	4949755	0.8
313965	4949794	2.7
314056	4949833	4.7
314147	4949872	4.5
314238	4949911	3.9
314329	4949950	3.6
314420	4949989	5.1
314511	4950028	3.9
314602	4950067	1.6
314693	4950106	1.0
314784	4950145	-1.5
314875	4950184	-0.6
314966	4950223	-2.6
315048	4950274	-2.1
312172	4949674	-2.4
312262	4949713	-3.4
312352	4949752	-6.4
312442	4949791	-9.3
312532	4949830	-9.0
312622	4949869	-4.0
312712	4949908	-2.8
312802	4949947	-1.1
312892	4949986	-3.8
312982	4950025	-1.9
313072	4950064	0.7
313162	4950103	5.9
313252	4950142	6.9
313342	4950181	6.5
313432	4950220	4.7
313522	4950259	3.8
313612	4950298	2.6
313702	4950337	5.4
313792	4950376	10.0
313882	4950415	12.5
313972	4950454	9.1
314062	4950493	11.4
314152	4950532	12.9
314242	4950571	12.7
314332	4950610	13.3
314422	4950649	11.7
314512	4950688	10.7
314602	4950727	10.7
314692	4950766	8.6
314790	4950816	9.8
314628	4947718	-4.6
314586	4947809	-6.0
314544	4947900	-4.3
314502	4947991	-4.3
314460	4948082	-3.0
314418	4948173	-2.3
314376	4948264	-3.4
314334	4948355	-5.5
314292	4948446	-9.2
314250	4948537	-11.1
314208	4948628	-14.6
314166	4948719	-13.4
314124	4948810	-14.9
314082	4948901	-14.0
314040	4948992	-14.6
313998	4949083	-16.9
313956	4949174	-18.4
313914	4949265	-16.4
313872	4949356	-14.9
313830	4949447	-11.9
313788	4949538	-12.9
313746	4949629	-16.1
313704	4949720	-19.0
313662	4949811	-19.4
313620	4949902	-19.8
313578	4949993	-19.5
313536	4950084	-19.0
313494	4950175	-19.2
313452	4950266	-16.7
313410	4950357	-15.7
313368	4950448	-14.2
